"col_index","col_name"
738,"Number_20 Susceptible_comparator_group_definition"
739,"Number_20 Susceptible_comparator_group_value"
740,"Number_20 Total"
741,"Number_20 p-value"
742,"Number_20 note"
743,"Proportion_20 Variable_description"
744,"Proportion_20 Resistant_group_definition"
745,"Proportion_20 Resistant_group_value"
746,"Proportion_20 Susceptible_comparator_group_definition"
747,"Proportion_20 Susceptible_comparator_group_value"
748,"Proportion_20 Total"
749,"Proportion_20 p-value"
750,"Number_21 Variable_description"
751,"Number_21 Resistant_group_definition"
752,"Number_21 Resistant_group_value"
753,"Number_21 Susceptible_comparator_group_definition"
754,"Number_21 Susceptible_comparator_group_value"
755,"Number_21 Total"
756,"Number_21 p-value"
757,"Number_21 note"
758,"Proportion_21 Variable_description"
759,"Proportion_21 Resistant_group_definition"
760,"Proportion_21 Resistant_group_value"
761,"Proportion_21 Susceptible_comparator_group_definition"
762,"Proportion_21 Susceptible_comparator_group_value"
763,"Proportion_21 Total"
764,"Number_22 Variable_description"
765,"Number_22 Resistant_group_definition"
766,"Number_22 Resistant_group_value"
767,"Number_22 Susceptible_comparator_group_definition"
768,"Number_22 Susceptible_comparator_group_value"
769,"Number_22 Total"
770,"Number_22 p-value"
771,"Number_22 note"
772,"Proportion_22 Variable_description"
773,"Proportion_22 Resistant_group_definition"
774,"Proportion_22 Resistant_group_value"
775,"Proportion_22 Susceptible_comparator_group_definition"
776,"Proportion_22 Susceptible_comparator_group_value"
777,"Proportion_22 Total"
778,"Number_23 Variable_description"
779,"Number_23 Resistant_group_definition"
780,"Number_23 Resistant_group_value"
781,"Number_23 Susceptible_comparator_group_definition"
782,"Number_23 Susceptible_comparator_group_value"
783,"Number_23 Total"
784,"Number_23 p-value"
785,"Number_23 note"
786,"Proportion_23 Variable_description"
787,"Proportion_23 Resistant_group_definition"
788,"Proportion_23 Resistant_group_value"
789,"Proportion_23 Susceptible_comparator_group_definition"
790,"Proportion_23 Susceptible_comparator_group_value"
791,"Proportion_23 Total"
792,"Number_24 Variable_description"
793,"Number_24 Resistant_group_definition"
794,"Number_24 Resistant_group_value"
795,"Number_24 Susceptible_comparator_group_definition"
796,"Number_24 Susceptible_comparator_group_value"
797,"Number_24 Total"
798,"Number_24 p-value"
799,"Number_24 note"
800,"Proportion_24 Variable_description"
801,"Proportion_24 Resistant_group_definition"
802,"Proportion_24 Resistant_group_value"
803,"Proportion_24 Susceptible_comparator_group_definition"
804,"Proportion_24 Susceptible_comparator_group_value"
805,"Proportion_24 Total"
806,"Number_25 Variable_description"
807,"Number_25 Resistant_group_definition"
808,"Number_25 Resistant_group_value"
809,"Number_25 Susceptible_comparator_group_definition"
810,"Number_25 Susceptible_comparator_group_value"
811,"Number_25 Total"
812,"Number_25 p-value"
813,"Number_25 note"
814,"Proportion_25 Variable_description"
815,"Proportion_25 Resistant_group_definition"
816,"Proportion_25 Resistant_group_value"
817,"Proportion_25 Susceptible_comparator_group_definition"
818,"Proportion_25 Susceptible_comparator_group_value"
819,"Proportion_25 Total"
820,"Number_26 Variable_description"
821,"Number_26 Resistant_group_definition"
822,"Number_26 Resistant_group_value"
823,"Number_26 Susceptible_comparator_group_definition"
824,"Number_26 Susceptible_comparator_group_value"
825,"Number_26 Total"
826,"Number_26 p-value"
827,"Number_26 note"
828,"Proportion_26 Variable_description"
829,"Proportion_26 Resistant_group_definition"
830,"Proportion_26 Resistant_group_value"
831,"Proportion_26 Susceptible_comparator_group_definition"
832,"Proportion_26 Susceptible_comparator_group_value"
833,"Proportion_26 Total"
834,"Number_27 Variable_description"
835,"Number_27 Resistant_group_definition"
836,"Number_27 Resistant_group_value"
837,"Number_27 Susceptible_comparator_group_definition"
838,"Number_27 Susceptible_comparator_group_value"
839,"Number_27 Total"
840,"Number_27 p-value"
841,"Number_27 note"
842,"Proportion_27 Variable_description"
843,"Proportion_27 Resistant_group_definition"
844,"Proportion_27 Resistant_group_value"
845,"Proportion_27 Susceptible_comparator_group_definition"
846,"Proportion_27 Susceptible_comparator_group_value"
847,"Proportion_27 Total"
848,"Number_28 Variable_description"
849,"Number_28 Resistant_group_definition"
850,"Number_28 Resistant_group_value"
